long,long,str,long,float,long,long,float,float,float,None,long,long,long,float,float,float,float,float,float,float,float,float,float,float,float,float,float,
1,12298,"CREATURE\BASILISK\BASILISK.M2",1,1.0,1,7,18.0,12.0,1.0,,0,0,1,0.611111998558,2.03128004074,1.82219803333,-6.07467317581,-2.91728401184,-0.335180014372,2.77613091469,3.09111309052,2.07008194923,1.0,1.0,0.0,0.0,0.0,
2,2,"CREATURE\BOGBEAST\BOGBEAST.M2",1,1.0,1,0,18.0,12.0,1.0,,0,0,2,0.611111998558,2.03128004074,1.50495302677,-0.72686201334,-2.81178307533,-0.29240000248,1.90085995197,2.7817709446,2.88509607315,1.0,1.0,0.0,0.0,0.0,
3,2,"CREATURE\CENTAUR\CENTAUR.M2",1,1.0,1,0,18.0,12.0,1.0,,0,0,3,0.611199975014,2.03099989891,1.91177105904,-1.45706701279,-0.511170983315,-0.00472099985927,1.01119804382,0.528217971325,2.76392602921,1.0,1.0,0.0,0.0,0.0,
4,2,"",1,1.0,1,0,18.0,12.0,1.0,,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
5,4098,"CREATURE\DARKHOUND\DARKHOUND.M2",1,1.0,1,0,18.0,12.0,1.0,,0,0,5,0.611111998558,2.03128004074,0.0,-1.34789299965,-0.473980009556,-0.0108169997111,0.81945002079,0.423426985741,1.62115097046,1.0,1.0,0.0,0.0,0.0,
6,12297,"CREATURE\DRAGONWHELP\DRAGONWHELP.M2",0,1.0,1,0,18.0,12.0,1.0,,0,0,6,0.611111998558,2.03128004074,0.0,-0.757493019104,-1.19332396984,0.991577029228,0.633700013161,1.20104396343,3.19062209129,1.0,1.0,0.0,0.0,0.0,
8,0,"CREATURE\FURBOLG\FURBOLG.M2",1,1.0,1,7,18.0,12.0,1.0,,0,0,8,0.611199975014,2.03099989891,0.0,-0.586773991585,-0.951519012451,-0.000769999984186,1.08375096321,0.951810002327,1.96814799309,1.0,1.0,0.0,0.0,0.0,
9,4099,"CREATURE\GHOST\GHOST.M2",1,1.0,1,4,18.0,12.0,1.0,,0,0,9,0.611111998558,2.03128004074,0.0,-1.89985799789,-1.92472195625,-0.331674993038,1.40820801258,1.5221799612,3.10960102081,1.0,1.0,0.0,0.0,0.0,
10,0,"CREATURE\GNOLL\GNOLL.M2",1,1.0,1,7,18.0,12.0,1.0,,0,0,10,0.611199975014,2.03099989891,0.891646027565,-0.777000010014,-0.700137019157,0.000479000009364,0.731759011745,0.764515995979,1.75619995594,1.0,1.0,0.0,0.0,0.0,
11,0,"CREATURE\GRELL\GRELL.M2",0,1.0,1,4,18.0,12.0,1.0,,0,0,11,0.611111998558,2.03128004074,0.0,-1.43498599529,-0.768818020821,-0.00277899997309,0.697103023529,0.738988995552,1.42325901985,1.0,1.0,0.0,0.0,0.0,
12,1,"CREATURE\HARPY\HARPY.M2",1,1.0,1,0,18.0,12.0,1.0,,0,0,12,0.611111998558,2.03128004074,0.0,-0.560316026211,-1.66741096973,0.857127010822,0.604705989361,1.69726204872,4.54122591019,1.0,1.0,0.0,0.0,0.0,
13,0,"CREATURE\HUFMCITIZENLOW\HUFMCITIZENLOW.M2",1,1.0,1,1,18.0,12.0,1.0,,0,0,13,0.509700000286,2.03099989891,0.0,-0.198980003595,-0.37892600894,-0.0144159998745,0.390325009823,0.32205298543,1.89609694481,1.0,1.0,0.0,0.0,0.0,
14,0,"CREATURE\HUFMCITIZENMID\HUFMCITIZENMID.M2",1,1.0,1,1,18.0,12.0,1.0,,0,0,14,0.509700000286,2.03099989891,0.0,-0.230800002813,-0.378926992416,-0.014414999634,0.390320003033,0.322057008743,1.88332796097,1.0,1.0,0.0,0.0,0.0,
15,0,"CREATURE\HUFMMERCHANT\HUFMMERCHANT.M2",1,1.0,1,1,18.0,12.0,1.0,,0,0,15,0.509700000286,2.03099989891,0.0,-0.198983997107,-0.378926992416,-0.014414999634,0.390320003033,0.322057008743,1.90167200565,1.0,1.0,0.0,0.0,0.0,
16,0,"CREATURE\HUMANTHIEF\HUMANTHIEF.M2",1,1.0,1,1,18.0,12.0,1.0,,0,0,16,0.555555999279,1.88908004761,1.15169501305,-0.489041000605,-0.398860991001,-0.0141479996964,0.580238997936,0.31593900919,1.77787196636,1.0,1.0,0.0,0.0,0.0,
17,0,"CREATURE\HUMLBLACKSMITH\HUMLBLACKSMITH.M2",1,1.0,1,1,18.0,12.0,1.0,,0,0,17,0.611199975014,2.03099989891,0.0,-0.294739991426,-0.582370996475,-0.00705299992114,0.51945400238,0.555571973324,2.00862288475,1.0,1.0,0.0,0.0,0.0,
18,0,"CREATURE\HUMLMAGICSMITH\HUMLMAGICSMITH.M2",1,1.0,1,1,18.0,12.0,1.0,,0,0,18,0.509700000286,2.03099989891,0.0,-0.294739991426,-0.689696013927,-0.00705200014636,0.617837011814,0.555571973324,2.27554106712,1.0,1.0,0.0,0.0,0.0,
